id,ambient_humidity,baking_duration,cooling_period,cream_fat_content,egg_temperature,egg_yolk_count,final_temperature,lemon_zest_ph,notes_baker,origin,oven_temperature,pastry_type,preheating_time,salt_ratio,sugar_content,vanilla_extract,quality_class
28,47.0,18.0,28.0,93.2,68.0,9.0,271.0,3.0,,Lisboa,272.0,,213.0,48.94,147.1,4.0,OK
29,48.0,31.0,26.0,98.8,20.0,9.0,203.0,3.2,,Lisboa,214.0,,192.0,54.78,11.2,5.0,KO
30,49.0,21.0,27.0,103.2,100.0,9.0,314.0,2.7,,Lisboa,296.0,,299.0,34.63,141.0,4.5,OK
31,70.0,18.0,26.0,95.2,65.0,10.0,219.0,3.4,,lisboa,205.0,Pastel Nata,159.0,49.83,26.8,5.5,OK
32,50.0,19.0,47.0,97.1,137.0,9.0,270.0,3.1,,Lisboa,279.0,N/A,197.0,195.82,39.8,3.8,KO
33,55.0,35.0,49.0,99.6,68.0,10.0,265.0,3.2,,,272.0,N/A,231.0,43.83,68.5,3.2,KO
34,58.0,33.0,49.0,97.2,52.0,10.0,184.0,3.4,,Porto,166.0,Pastel de nata,267.0,81.19,25.3,5.5,KO
35,45.0,28.0,26.0,98.0,89.0,12.0,224.0,3.0,,LISBOA,232.0,Pastel De Nata,182.0,35.55,77.9,2.9,OK
36,65.0,45.0,6.0,101.0,50.0,11.0,105.0,3.4,,Porto,101.0,Pastel de Nata,240.0,79.58,19.2,6.9,KO
37,65.0,22.0,38.0,98.9,94.0,11.0,250.0,3.3,,Lisboa,252.0,Pastel de Nata,190.0,52.18,12.8,3.9,OK
38,76.0,23.0,27.0,97.4,153.0,10.0,341.0,3.1,,Lisboa,352.0,Pastel de nata,238.0,36.27,82.9,5.5,OK
39,73.0,18.0,33.0,98.5,106.0,10.0,282.0,3.2,,Lisboa,281.0,N/A,253.0,46.57,14.7,5.9,OK
40,54.0,29.0,54.0,97.4,22.0,11.0,77.0,3.1,,Porto,86.0,N/A,339.0,95.19,20.9,6.7,OK
41,61.0,27.0,32.0,100.7,127.0,9.0,307.0,3.1,,Lisboa,303.0,Pastel de nata,189.0,68.75,103.2,5.0,KO
42,77.0,24.0,24.0,97.6,104.0,10.0,214.0,3.0,,Lisboa,223.0,Pastel De Nata,201.0,43.59,129.5,5.5,OK
43,75.0,33.0,56.0,99.8,42.0,9.0,115.0,3.0,,Porto,118.0,Pastel de nata,260.0,402.47,13.8,13.6,KO
44,51.0,44.0,0.0,96.5,44.0,10.0,131.0,3.5,,PORTO,117.0,Pastel De Nata,223.0,88.07,39.0,5.4,KO
45,71.0,28.0,85.0,94.1,80.0,10.0,198.0,2.8,,Lisboa,199.0,,215.0,174.16,14.0,5.1,KO
46,59.0,23.0,25.0,97.3,142.0,11.0,272.0,3.2,,Lisboa,273.0,Pastel Nata,179.0,52.49,12.6,6.1,OK
47,75.0,24.0,56.0,99.3,132.0,9.0,273.0,3.1,,Lisboa,283.0,,209.0,48.94,127.3,4.7,OK
48,64.0,25.0,53.0,97.9,129.0,9.0,409.0,3.0,,LISBOA,399.0,,200.0,47.48,108.5,6.1,KO
49,49.0,27.0,50.0,99.4,136.0,10.0,334.0,3.2,,Lisboa,326.0,N/A,192.0,48.74,62.5,4.6,KO
50,46.0,42.0,0.0,98.4,40.0,9.0,118.0,3.4,,Porto,108.0,Pastel de nata,214.0,99.73,18.7,5.7,OK
51,77.0,16.0,28.0,96.8,99.0,10.0,195.0,3.1,,Lisboa,204.0,,204.0,45.04,88.0,3.6,OK
52,41.0,19.0,44.0,99.1,51.0,10.0,214.0,2.8,,Lisboa,204.0,Pastel De Nata,254.0,52.17,20.8,4.7,KO
53,66.0,22.0,41.0,99.5,110.0,10.0,291.0,3.1,,Lisboa,298.0,N/A,212.0,39.24,93.9,5.9,OK
54,52.0,23.0,39.0,95.2,56.0,11.0,217.0,3.2,,Lisboa,240.0,Pastel Nata,223.0,20.57,56.6,6.5,OK
55,59.0,17.0,29.0,96.1,90.0,10.0,236.0,3.3,,LISBOA,239.0,,210.0,51.55,52.8,3.9,OK
56,54.0,26.0,25.0,98.0,117.0,10.0,327.0,3.1,,Lisboa,323.0,Pastel de nata,195.0,50.65,77.7,5.1,KO
57,66.0,29.0,40.0,97.8,22.0,9.0,71.0,3.1,,Porto,75.0,Pastel de nata,341.0,88.29,23.5,7.6,KO
58,53.0,59.0,63.0,107.3,26.0,12.0,293.0,3.4,,Lisboa,289.0,Pastel De Nata,237.0,71.36,656.5,6.9,OK
59,64.0,20.0,46.0,97.9,64.0,9.0,272.0,3.2,,lisboa,281.0,Pastel Nata,214.0,43.45,78.3,5.5,OK
60,51.0,23.0,51.0,100.5,79.0,9.0,347.0,3.1,,Lisboa,346.0,N/A,184.0,48.45,76.2,5.6,KO
61,74.0,23.0,29.0,97.1,102.0,10.0,323.0,3.2,,lisboa,317.0,,233.0,39.9,70.8,5.8,OK
62,68.0,19.0,34.0,95.6,42.0,11.0,223.0,3.0,,Lisboa,218.0,,217.0,42.28,64.1,3.8,OK
63,69.0,19.0,37.0,98.1,109.0,10.0,263.0,3.4,,Lisboa,255.0,N/A,191.0,48.44,15.6,8.2,OK
64,53.0,19.0,26.0,97.5,115.0,10.0,285.0,3.1,,Lisboa,291.0,,200.0,40.67,16.7,4.6,OK
65,42.0,23.0,29.0,98.0,117.0,13.0,255.0,3.4,,Lisboa ,241.0,Pastel de nata,177.0,24.1,21.8,6.6,OK
66,72.0,17.0,40.0,97.2,122.0,10.0,254.0,3.3,,Lisboa,253.0,Pastel de Nata,218.0,50.41,12.2,9.8,OK
67,71.0,38.0,20.0,100.4,24.0,10.0,94.0,3.3,,Porto,92.0,,214.0,71.22,22.1,5.3,KO
68,52.0,26.0,32.0,99.2,48.0,13.0,222.0,3.4,,Lisboa,235.0,Pastel de Nata,187.0,47.39,12.6,5.2,OK
69,78.0,38.0,35.0,98.9,41.0,9.0,201.0,,,,220.0,Pastel de Nata,260.0,93.61,30.9,5.9,KO
70,66.0,39.0,1.0,98.2,20.0,11.0,87.0,3.6,,Porto,69.0,Pastel de Nata,183.0,55.37,21.5,5.6,KO
71,42.0,17.0,49.0,97.2,44.0,10.0,233.0,3.0,,Lisboa,231.0,Pastel de Nata,255.0,31.44,14.7,3.8,OK
72,73.0,28.0,28.0,98.5,83.0,12.0,235.0,3.2,,Lisboa,236.0,Pastel Nata,243.0,36.47,76.0,3.3,KO
73,71.0,36.0,25.0,99.6,127.0,11.0,364.0,3.3,,Lisboa,348.0,Pastel Nata,202.0,50.36,128.5,5.4,OK
74,50.0,21.0,42.0,96.3,79.0,11.0,241.0,3.1,,Lisboa,239.0,Pastel de Nata,248.0,43.57,14.9,4.8,OK
75,63.0,23.0,24.0,99.1,,11.0,245.0,3.2,,Lisboa,251.0,N/A,210.0,23.49,53.0,6.9,OK
76,65.0,28.0,47.0,98.6,62.0,10.0,223.0,3.1,,Lisboa,238.0,N/A,207.0,148.11,13.9,5.4,OK
77,76.0,26.0,27.0,96.5,46.0,10.0,207.0,3.2,,Lisboa,218.0,N/A,192.0,38.18,70.8,3.6,OK
78,54.0,43.0,2.0,99.5,28.0,9.0,75.0,3.4,,,83.0,N/A,217.0,64.1,20.5,6.5,OK
79,64.0,28.0,32.0,96.1,73.0,10.0,389.0,3.3,,Lisboa,381.0,Pastel Nata,178.0,52.18,10.2,7.1,OK
80,42.0,22.0,37.0,100.5,67.0,12.0,212.0,3.2,,Lisboa,203.0,Pastel de Nata,213.0,34.03,22.5,5.6,OK
81,73.0,37.0,6.0,101.7,63.0,10.0,159.0,3.3,,Porto,142.0,N/A,237.0,82.06,39.8,6.8,OK
82,60.0,17.0,26.0,100.5,60.0,9.0,256.0,2.9,,Lisboa,258.0,,223.0,48.4,160.0,4.2,OK
83,69.0,23.0,46.0,98.8,118.0,9.0,310.0,3.3,,Lisboa,321.0,Pastel De Nata,197.0,48.76,63.7,4.4,OK
84,74.0,23.0,37.0,99.7,33.0,10.0,218.0,3.2,,Lisboa,229.0,N/A,199.0,61.98,15.1,4.5,KO
85,69.0,25.0,68.0,99.3,126.0,9.0,273.0,3.0,,Lisboa,289.0,,215.0,41.44,103.7,4.5,KO
86,63.0,27.0,21.0,98.1,44.0,10.0,239.0,3.1,,Lisboa,250.0,Pastel Nata,179.0,42.94,48.0,5.2,KO
87,40.0,23.0,26.0,100.7,169.0,10.0,390.0,3.2,,Lisboa,,N/A,188.0,43.44,124.7,4.0,OK
88,79.0,23.0,22.0,100.2,119.0,9.0,274.0,3.3,,Lisboa,280.0,Pastel Nata,168.0,41.18,90.5,3.9,KO
89,54.0,22.0,31.0,97.7,87.0,11.0,230.0,3.2,,Lisboa,230.0,Pastel De Nata,206.0,37.49,13.2,4.3,OK
90,72.0,24.0,24.0,96.3,60.0,12.0,212.0,3.0,,Lisboa,201.0,N/A,188.0,30.03,14.8,4.2,OK
91,63.0,24.0,54.0,96.9,118.0,10.0,353.0,3.1,,Lisboa,354.0,N/A,217.0,45.97,174.4,5.1,OK
92,73.0,29.0,58.0,97.0,61.0,11.0,201.0,3.3,,Lisboa,200.0,Pastel Nata,221.0,45.97,13.0,3.2,OK
93,55.0,24.0,44.0,101.5,70.0,9.0,322.0,3.1,,Lisboa,326.0,Pastel De Nata,198.0,52.04,146.6,5.7,KO
94,66.0,22.0,31.0,99.4,62.0,9.0,310.0,3.1,,Lisboa,321.0,Pastel Nata,229.0,49.33,132.8,5.4,OK
95,44.0,19.0,27.0,100.4,55.0,12.0,218.0,3.4,,Lisboa,219.0,Pastel Nata,183.0,23.15,39.8,5.1,OK
96,61.0,20.0,26.0,98.1,26.0,10.0,255.0,3.1,,Lisboa,265.0,Pastel Nata,244.0,38.32,21.2,7.2,KO
97,67.0,25.0,48.0,97.4,86.0,9.0,239.0,3.0,,Lisboa,243.0,,189.0,46.15,119.3,5.2,OK
98,70.0,27.0,32.0,99.1,49.0,12.0,161.0,3.3,,Lisboa,171.0,Pastel de Nata,189.0,33.57,45.5,5.8,OK
99,63.0,32.0,51.0,95.9,84.0,11.0,285.0,3.2,,Lisboa,285.0,N/A,,33.23,128.0,3.5,OK
100,68.0,28.0,32.0,103.2,32.0,11.0,125.0,3.2,,Porto,119.0,Pastel Nata,249.0,79.59,24.4,8.1,OK
101,59.0,18.0,26.0,100.7,100.0,10.0,250.0,3.2,,LISBOA,253.0,,184.0,54.92,14.8,4.1,OK
102,55.0,23.0,33.0,94.5,,11.0,270.0,3.3,,Lisboa,245.0,Pastel De Nata,213.0,43.56,21.9,6.4,OK
103,56.0,20.0,50.0,101.7,40.0,10.0,257.0,3.2,,Lisboa,262.0,Pastel de Nata,227.0,54.95,15.9,4.9,KO
104,72.0,30.0,22.0,96.2,40.0,12.0,147.0,3.5,,Lisboa,158.0,Pastel Nata,147.0,28.12,17.0,4.5,OK
105,70.0,24.0,25.0,99.0,118.0,9.0,351.0,3.3,,Lisboa,355.0,,198.0,54.57,79.6,4.2,KO
106,44.0,41.0,25.0,100.2,44.0,10.0,192.0,3.3,,Porto,186.0,,216.0,81.21,18.9,5.9,OK
107,55.0,38.0,19.0,93.9,36.0,9.0,103.0,3.3,,Porto,103.0,Pastel Nata,246.0,79.5,18.6,5.8,OK
108,62.0,38.0,23.0,100.1,38.0,9.0,225.0,3.3,,Porto,207.0,,251.0,77.26,33.0,6.2,KO
109,67.0,26.0,26.0,96.0,114.0,12.0,306.0,3.1,,Lisboa,299.0,Pastel Nata,211.0,43.39,104.5,3.4,OK
110,56.0,22.0,24.0,97.8,136.0,11.0,288.0,3.3,,Lisboa,296.0,,175.0,38.69,100.8,5.0,OK
111,52.0,28.0,36.0,99.0,32.0,9.0,229.0,3.2,,Lisboa,232.0,Pastel De Nata,264.0,46.57,13.4,4.6,KO
112,80.0,29.0,47.0,96.4,28.0,12.0,90.0,3.2,,Porto ,85.0,,302.0,73.7,21.8,7.7,OK
113,42.0,28.0,31.0,98.0,95.0,9.0,348.0,3.3,,Lisboa,334.0,Pastel de nata,231.0,63.09,183.1,6.4,KO
114,61.0,22.0,29.0,102.2,89.0,12.0,266.0,3.4,,Lisboa,249.0,Pastel de Nata,193.0,26.47,17.9,4.5,KO
115,59.0,27.0,20.0,99.3,84.0,10.0,233.0,3.2,,Lisboa,218.0,Pastel De Nata,178.0,42.69,144.5,4.0,KO
116,53.0,24.0,28.0,100.9,120.0,10.0,299.0,3.1,,LISBOA,309.0,Pastel de nata,234.0,54.39,117.6,5.9,KO
117,55.0,21.0,24.0,98.7,96.0,9.0,271.0,3.3,,Lisboa,257.0,Pastel Nata,197.0,51.74,170.5,3.5,KO
118,47.0,32.0,74.0,100.9,105.0,9.0,366.0,3.1,,Lisboa,364.0,Pastel De Nata,199.0,77.53,127.6,6.0,OK
119,78.0,30.0,29.0,95.1,73.0,12.0,203.0,3.3,,Lisboa ,205.0,Pastel de nata,237.0,30.39,52.1,6.3,OK
120,59.0,22.0,36.0,97.0,143.0,9.0,318.0,3.2,,Lisboa,331.0,Pastel de Nata,233.0,42.91,139.8,7.5,KO
121,74.0,28.0,27.0,100.6,58.0,10.0,262.0,3.3,,Lisboa,255.0,Pastel De Nata,196.0,56.77,60.8,4.9,OK
122,60.0,34.0,25.0,100.9,133.0,10.0,351.0,3.3,,Lisboa,356.0,Pastel De Nata,178.0,67.24,45.4,5.6,KO
123,49.0,17.0,39.0,96.1,59.0,11.0,198.0,3.1,,Lisboa,187.0,Pastel De Nata,215.0,49.13,20.5,4.3,KO
124,56.0,19.0,43.0,98.3,86.0,11.0,165.0,3.3,,Porto,150.0,,236.0,52.34,22.3,9.3,KO
125,72.0,16.0,31.0,98.4,40.0,12.0,127.0,3.0,,Lisboa,106.0,,207.0,18.47,31.6,5.2,OK
126,79.0,21.0,24.0,100.7,44.0,11.0,294.0,3.3,,Lisboa,286.0,,218.0,41.48,13.3,5.3,OK
127,63.0,22.0,37.0,99.4,104.0,11.0,286.0,3.4,,Lisboa,292.0,Pastel Nata,200.0,48.15,82.0,5.3,OK
128,60.0,38.0,19.0,99.6,40.0,13.0,112.0,3.6,,Porto,126.0,N/A,182.0,81.24,24.5,7.0,OK
129,79.0,28.0,6.0,95.0,54.0,9.0,217.0,3.3,,Lisboa,213.0,Pastel de nata,186.0,67.3,14.4,5.2,KO
130,47.0,39.0,21.0,94.4,18.0,10.0,69.0,3.2,,Porto,64.0,Pastel De Nata,223.0,68.35,15.6,5.6,OK
131,46.0,24.0,22.0,99.4,123.0,10.0,,3.1,,Lisboa,334.0,,236.0,46.82,101.4,4.1,OK
132,52.0,21.0,24.0,93.9,55.0,12.0,212.0,3.0,,Lisboa,217.0,Pastel de nata,221.0,25.66,88.2,4.3,OK
133,47.0,26.0,28.0,98.1,92.0,13.0,252.0,3.3,,Lisboa,263.0,Pastel de Nata,176.0,32.54,20.0,4.2,OK
134,75.0,29.0,28.0,97.6,138.0,13.0,208.0,3.4,,,210.0,N/A,207.0,23.32,18.4,6.2,OK
135,69.0,22.0,66.0,98.1,114.0,9.0,290.0,3.2,,Lisboa,282.0,Pastel Nata,229.0,46.37,107.2,4.3,KO
136,70.0,23.0,20.0,95.1,203.0,10.0,302.0,3.1,,Lisboa ,315.0,Pastel Nata,194.0,45.51,67.3,3.5,OK
137,71.0,24.0,21.0,96.3,83.0,11.0,229.0,3.0,,Lisboa,225.0,Pastel de nata,193.0,41.6,96.5,3.4,OK
138,61.0,20.0,50.0,96.7,71.0,10.0,227.0,3.2,,Lisboa,230.0,N/A,175.0,44.27,68.0,4.8,OK
139,43.0,27.0,28.0,100.5,124.0,9.0,321.0,3.3,,Lisboa,325.0,Pastel de Nata,208.0,31.73,163.7,6.0,OK
140,68.0,23.0,18.0,94.3,131.0,9.0,343.0,3.2,,Lisboa,331.0,Pastel de nata,202.0,42.26,88.2,4.9,KO
141,76.0,23.0,43.0,96.5,116.0,9.0,375.0,3.2,,Lisboa,363.0,Pastel De Nata,188.0,47.86,77.9,4.7,OK
142,48.0,23.0,48.0,97.4,23.0,11.0,79.0,3.2,,Porto,86.0,Pastel de nata,312.0,77.46,18.7,10.6,OK
143,,50.0,0.0,99.5,75.0,11.0,112.0,3.3,,Porto,117.0,Pastel de Nata,227.0,74.66,16.9,6.4,OK
144,57.0,20.0,44.0,97.0,30.0,13.0,228.0,3.0,,Lisboa,228.0,Pastel de nata,237.0,34.35,18.6,6.9,OK
145,42.0,21.0,26.0,98.1,46.0,10.0,208.0,3.1,,Lisboa ,195.0,N/A,229.0,36.17,11.7,4.0,OK
146,48.0,22.0,43.0,97.4,33.0,9.0,79.0,3.2,,Porto,91.0,Pastel de Nata,256.0,79.69,19.9,8.2,OK
147,45.0,30.0,35.0,96.0,62.0,12.0,153.0,3.2,,Lisboa,158.0,N/A,214.0,42.4,125.8,2.8,KO
148,72.0,42.0,7.0,98.4,26.0,9.0,84.0,3.2,,Porto,86.0,Pastel De Nata,227.0,101.58,18.0,5.9,KO
149,62.0,21.0,42.0,99.6,58.0,10.0,297.0,3.4,,Lisboa,284.0,Pastel De Nata,218.0,73.14,12.0,4.4,OK
150,47.0,19.0,34.0,95.7,34.0,12.0,271.0,3.2,,Lisboa,257.0,Pastel de nata,213.0,48.88,20.9,4.7,OK
151,72.0,25.0,23.0,101.5,60.0,12.0,281.0,,,Lisboa,265.0,Pastel de nata,172.0,41.85,33.3,4.3,OK
152,45.0,36.0,31.0,98.2,115.0,10.0,390.0,3.3,,Lisboa,376.0,Pastel Nata,206.0,42.7,130.5,5.0,OK
153,46.0,38.0,8.0,101.4,40.0,9.0,157.0,3.3,,PORTO,149.0,Pastel Nata,197.0,95.22,18.1,5.6,KO
154,43.0,18.0,23.0,97.3,120.0,9.0,288.0,3.3,,Lisboa,277.0,,220.0,62.63,44.7,3.6,OK
155,54.0,21.0,24.0,101.2,55.0,11.0,213.0,3.1,,Lisboa,220.0,,212.0,40.71,35.1,3.6,OK
156,48.0,21.0,34.0,100.2,56.0,13.0,215.0,3.3,,Lisboa,217.0,N/A,171.0,25.07,12.7,3.7,OK
157,54.0,22.0,51.0,98.6,16.0,10.0,73.0,2.8,,Lisboa,77.0,Pastel Nata,294.0,33.73,47.1,5.4,OK
158,41.0,40.0,39.0,96.6,20.0,10.0,93.0,3.3,,Porto,83.0,N/A,282.0,93.22,22.9,5.5,KO
159,78.0,27.0,38.0,98.7,22.0,11.0,119.0,3.3,,Porto,103.0,Pastel de Nata,240.0,60.74,14.9,7.2,OK
160,50.0,27.0,24.0,97.4,70.0,12.0,194.0,3.1,,Lisboa,199.0,Pastel De Nata,196.0,35.37,32.8,4.1,OK
161,77.0,28.0,50.0,99.7,20.0,11.0,82.0,3.2,,Porto,81.0,Pastel de Nata,331.0,90.22,32.0,5.2,KO
162,52.0,32.0,13.0,95.6,67.0,12.0,312.0,3.4,,Lisboa,308.0,Pastel Nata,173.0,26.36,71.2,4.9,OK
163,54.0,41.0,0.0,99.0,20.0,10.0,72.0,3.2,,Porto,65.0,N/A,276.0,54.45,18.5,,OK
164,76.0,47.0,19.0,95.1,67.0,9.0,164.0,3.3,,Porto,169.0,Pastel De Nata,202.0,71.44,77.1,5.7,KO
165,63.0,26.0,65.0,97.0,34.0,9.0,201.0,3.1,,LISBOA,210.0,,212.0,56.88,134.9,3.9,KO
166,61.0,21.0,39.0,97.5,81.0,11.0,172.0,3.3,,Lisboa,188.0,Pastel De Nata,203.0,34.53,23.8,4.7,OK
167,72.0,33.0,41.0,100.8,132.0,9.0,346.0,3.1,,Lisboa,345.0,Pastel de Nata,179.0,52.46,10.7,4.1,KO
168,41.0,31.0,16.0,97.4,67.0,11.0,300.0,2.9,,Lisboa,293.0,Pastel de Nata,197.0,36.25,13.3,4.4,OK
169,73.0,24.0,31.0,99.2,79.0,10.0,238.0,3.5,,Lisboa,239.0,Pastel De Nata,184.0,52.98,15.2,5.6,OK
170,62.0,24.0,32.0,93.0,61.0,12.0,192.0,3.0,,Lisboa,199.0,N/A,253.0,44.85,12.7,4.3,OK
171,54.0,32.0,4.0,98.8,95.0,12.0,221.0,3.3,,Lisboa,228.0,Pastel de Nata,150.0,33.29,14.2,3.3,OK
172,59.0,26.0,26.0,96.8,40.0,12.0,265.0,3.1,,Lisboa,256.0,Pastel de Nata,242.0,29.18,97.2,4.4,OK
173,78.0,19.0,35.0,99.2,89.0,12.0,237.0,3.2,,Lisboa,225.0,Pastel de nata,189.0,28.4,15.9,6.6,OK
174,57.0,27.0,13.0,96.8,147.0,10.0,298.0,3.4,,Lisboa,305.0,Pastel de nata,150.0,35.35,13.1,4.4,KO
175,51.0,24.0,44.0,101.1,101.0,9.0,368.0,3.3,,Lisboa,358.0,Pastel Nata,176.0,45.08,75.2,4.8,OK
176,58.0,23.0,27.0,100.3,105.0,10.0,252.0,3.3,,Lisboa,244.0,Pastel Nata,192.0,40.91,169.1,3.8,OK
177,74.0,18.0,62.0,95.7,149.0,9.0,367.0,3.1,,Lisboa,366.0,Pastel de Nata,232.0,49.54,176.4,5.0,OK
178,74.0,16.0,44.0,99.8,45.0,11.0,217.0,3.4,,Lisboa,220.0,Pastel Nata,231.0,49.97,17.9,4.8,OK
179,44.0,25.0,24.0,98.3,50.0,9.0,268.0,3.2,,LISBOA,260.0,,230.0,51.25,128.5,4.9,KO
180,41.0,29.0,50.0,100.6,78.0,11.0,304.0,3.3,,Lisboa,292.0,Pastel De Nata,231.0,57.33,80.2,5.7,OK
181,42.0,30.0,44.0,99.8,96.0,9.0,314.0,3.1,,Lisboa,319.0,Pastel Nata,194.0,61.83,63.2,5.2,KO
182,65.0,26.0,32.0,99.8,148.0,10.0,307.0,3.3,,Lisboa,302.0,N/A,231.0,35.97,151.4,3.6,OK
183,68.0,23.0,31.0,100.6,80.0,12.0,203.0,3.4,,Lisboa,199.0,Pastel De Nata,176.0,41.28,10.1,4.6,OK
184,58.0,27.0,0.0,99.0,63.0,14.0,141.0,3.7,,Porto,146.0,Pastel de Nata,154.0,51.54,17.8,7.7,OK
185,50.0,18.0,48.0,99.0,89.0,11.0,226.0,3.1,,Lisboa,234.0,Pastel de nata,190.0,50.53,12.4,7.8,OK
186,79.0,36.0,33.0,98.6,28.0,9.0,82.0,3.2,,Porto,94.0,Pastel De Nata,267.0,69.82,12.9,5.9,KO
187,75.0,24.0,49.0,100.0,44.0,12.0,246.0,3.2,,Lisboa,248.0,Pastel de nata,223.0,44.49,10.9,4.8,OK
188,57.0,25.0,29.0,96.8,27.0,10.0,367.0,3.2,,Lisboa,369.0,N/A,197.0,37.82,22.7,5.7,KO
189,49.0,23.0,31.0,97.3,54.0,12.0,203.0,3.0,,Lisboa,204.0,N/A,226.0,23.23,36.2,4.7,OK
190,57.0,17.0,41.0,98.3,112.0,11.0,240.0,3.2,,Lisboa,245.0,Pastel de Nata,189.0,48.83,12.4,6.8,OK
191,66.0,22.0,29.0,98.8,,11.0,261.0,3.2,,Lisboa,253.0,Pastel de Nata,184.0,33.29,131.6,3.7,OK
192,62.0,20.0,22.0,98.5,88.0,9.0,210.0,3.3,,Lisboa,219.0,Pastel de nata,169.0,43.76,172.5,5.0,OK
193,56.0,17.0,29.0,96.8,71.0,10.0,188.0,3.2,,Lisboa,184.0,Pastel de Nata,207.0,56.86,97.8,3.4,OK
194,43.0,38.0,0.0,93.6,74.0,11.0,152.0,3.4,,Porto,147.0,N/A,193.0,72.98,25.2,5.3,OK
195,44.0,23.0,25.0,101.2,14.0,11.0,177.0,3.1,,Lisboa,173.0,Pastel Nata,203.0,30.8,109.3,3.5,KO
196,70.0,24.0,36.0,100.8,100.0,10.0,163.0,3.5,,Porto,152.0,Pastel De Nata,273.0,72.57,20.8,8.6,OK
197,79.0,24.0,25.0,100.1,124.0,12.0,257.0,3.2,,Lisboa,256.0,,189.0,31.87,47.9,4.3,OK
