id,ambient_humidity,baking_duration,cooling_period,cream_fat_content,egg_temperature,egg_yolk_count,final_temperature,lemon_zest_ph,notes_baker,origin,oven_temperature,pastry_type,preheating_time,salt_ratio,sugar_content,vanilla_extract
5389,75.0,19,32,96.8,50.0,11.0,165.0,3.3,,Lisboa,160.0,Pastel De Nata,204.0,43.71,10.6,4.1
5390,54.0,23,29,95.8,69.0,13.0,214.0,3.0,,Lisboa,195.0,Pastel de nata,197.0,30.15,48.7,5.8
5391,59.0,36,24,98.1,36.0,11.0,87.0,3.5,,Porto,83.0,Pastel Nata,200.0,72.55,20.1,8.4
5392,58.0,21,37,98.4,56.0,10.0,296.0,3.3,,Lisboa,289.0,,236.0,56.12,,4.7
5393,62.0,21,32,96.5,110.0,11.0,295.0,3.4,,Lisboa,281.0,,194.0,48.37,50.1,5.5
5394,44.0,26,35,96.1,26.0,12.0,301.0,3.2,,Lisboa,302.0,Pastel De Nata,234.0,41.02,17.9,4.1
5395,57.0,17,38,101.0,48.0,11.0,209.0,3.2,,Lisboa,201.0,Pastel de nata,196.0,34.43,14.1,6.0
5396,53.0,19,24,101.1,85.0,12.0,193.0,3.4,,Lisboa,188.0,,179.0,36.28,15.3,4.7
5397,70.0,41,20,100.4,69.0,10.0,143.0,3.2,,Porto,146.0,Pastel De Nata,253.0,92.03,26.8,5.9
5398,72.0,20,42,97.2,52.0,11.0,251.0,3.1,,Lisboa,255.0,Pastel de nata,228.0,57.21,19.4,5.0
5399,41.0,29,24,101.1,92.0,9.0,255.0,3.1,,Lisboa,274.0,Pastel de nata,192.0,46.94,71.1,6.1
5400,43.0,25,24,99.6,70.0,13.0,225.0,3.1,,Lisboa,218.0,Pastel de Nata,176.0,32.12,14.0,4.3
5401,60.0,28,43,100.8,46.0,10.0,169.0,3.3,,Porto,171.0,N/A,222.0,80.06,26.4,6.5
5402,75.0,21,25,100.1,203.0,11.0,307.0,3.5,,Lisboa,311.0,Pastel De Nata,175.0,49.29,10.8,6.0
5403,50.0,18,37,95.3,52.0,10.0,290.0,3.5,,Lisboa,284.0,Pastel de nata,224.0,44.39,17.8,4.4
5404,45.0,21,32,94.1,98.0,9.0,297.0,3.4,,Lisboa,302.0,Pastel Nata,202.0,55.59,130.2,4.2
5405,65.0,22,33,99.3,103.0,12.0,242.0,3.4,,Lisboa,247.0,,197.0,32.34,138.3,5.1
5406,77.0,18,29,95.8,82.0,11.0,186.0,3.8,,Lisboa,185.0,Pastel Nata,147.0,41.42,10.1,4.8
5407,62.0,22,47,95.9,71.0,12.0,244.0,3.2,,Lisboa,238.0,Pastel de nata,236.0,31.14,14.5,4.6
5408,67.0,21,29,98.1,97.0,11.0,204.0,2.9,,Lisboa,208.0,Pastel de Nata,199.0,28.95,53.2,4.1
5409,43.0,21,48,93.6,122.0,9.0,341.0,3.2,,Lisboa,333.0,Pastel de Nata,224.0,50.49,137.2,6.3
5410,72.0,26,36,100.1,100.0,10.0,294.0,3.1,,Lisboa,279.0,N/A,216.0,39.08,88.5,4.6
5411,65.0,32,35,96.2,42.0,9.0,164.0,3.5,,Porto,158.0,Pastel de Nata,205.0,82.84,27.6,6.2
5412,55.0,23,30,98.2,56.0,11.0,225.0,3.2,,Lisboa,222.0,Pastel de Nata,214.0,63.18,106.4,4.7
5413,44.0,21,32,96.0,123.0,11.0,253.0,3.3,,Lisboa,251.0,Pastel de nata,190.0,38.83,141.5,3.8
5414,71.0,35,28,101.3,44.0,9.0,243.0,3.0,,Lisboa,245.0,Pastel De Nata,176.0,164.18,51.0,3.4
5415,46.0,22,37,97.1,118.0,9.0,341.0,3.0,,Lisboa,322.0,Pastel Nata,220.0,66.01,129.5,4.8
5416,58.0,27,29,98.5,56.0,11.0,164.0,3.3,,Lisboa,178.0,Pastel de nata,180.0,38.76,68.3,4.8
